Object_Type,moved_left,moved_right,Time
Person,1,0,2021-12-15 13:32:25.320515
Person,0,1,2021-12-15 13:32:25.845411
Person,1,0,2021-12-15 13:32:26.624116
Person,0,1,2021-12-15 13:32:26.884072
Person,1,0,2021-12-15 13:32:27.407807
Person,0,1,2021-12-15 13:32:27.937314
Person,1,0,2021-12-15 13:32:28.196184
Person,0,1,2021-12-15 13:32:28.980604
Person,1,0,2021-12-15 13:32:29.775202
Person,0,1,2021-12-15 13:32:30.035362
Person,1,0,2021-12-15 13:32:30.302946
Person,0,1,2021-12-15 13:32:30.561587
Person,1,0,2021-12-15 13:32:30.818892
Person,0,1,2021-12-15 13:32:31.079760
Person,1,0,2021-12-15 13:32:32.398834
Person,0,1,2021-12-15 13:32:32.922776
Person,1,0,2021-12-15 13:32:34.758115
Person,0,1,2021-12-15 13:32:35.017403
Person,1,0,2021-12-15 13:32:36.061060
Person,0,1,2021-12-15 13:32:37.105877
Person,1,0,2021-12-15 13:32:37.366182
Person,0,1,2021-12-15 13:32:37.631335
Person,1,0,2021-12-15 13:32:38.160756
Person,0,1,2021-12-15 13:32:38.420998
Person,1,0,2021-12-15 13:32:38.681384
Person,0,1,2021-12-15 13:32:38.943650
Person,1,0,2021-12-15 13:32:41.032750
Person,0,1,2021-12-15 13:32:41.292432
Person,1,0,2021-12-15 13:32:41.827789
Person,0,1,2021-12-15 13:32:42.613078
Person,1,0,2021-12-15 13:32:43.409943
Person,0,1,2021-12-15 13:32:43.672038
Person,1,0,2021-12-15 13:32:44.726431
Person,0,1,2021-12-15 13:32:45.257803
Person,1,0,2021-12-15 13:32:45.774982
Person,0,1,2021-12-15 13:32:46.034789
Person,1,0,2021-12-15 13:32:48.138081
Person,0,1,2021-12-15 13:32:49.196943
Person,1,0,2021-12-15 13:32:50.498943
Person,0,1,2021-12-15 13:32:50.759545
Person,1,0,2021-12-15 13:32:51.022828
Person,0,1,2021-12-15 13:32:51.294357
Person,1,0,2021-12-15 13:32:52.082934
Person,0,1,2021-12-15 13:32:52.340379
Person,1,0,2021-12-15 13:32:52.600252
Person,0,1,2021-12-15 13:32:52.886651
Person,1,0,2021-12-15 13:32:53.409776
Person,0,1,2021-12-15 13:32:53.671158
Person,1,0,2021-12-15 13:32:54.974365
Person,0,1,2021-12-15 13:32:55.235181
Person,1,0,2021-12-15 13:32:57.062412
Person,0,1,2021-12-15 13:32:57.326132
Person,1,0,2021-12-15 13:32:57.848121
Person,0,1,2021-12-15 13:32:58.371414
Person,1,0,2021-12-15 13:32:58.633888
Person,0,1,2021-12-15 13:32:58.897844
Person,1,0,2021-12-15 13:33:00.464851
Person,0,1,2021-12-15 13:33:00.725738
Person,1,0,2021-12-15 13:33:00.984655
Person,0,1,2021-12-15 13:33:01.251838
Person,1,0,2021-12-15 13:33:01.518833
Person,0,1,2021-12-15 13:33:01.791219
Person,1,0,2021-12-15 13:33:02.322432
Person,0,1,2021-12-15 13:33:02.583202
Person,1,0,2021-12-15 13:33:02.840115
Person,0,1,2021-12-15 13:33:03.363772
Person,1,0,2021-12-15 13:33:05.197666
Person,0,1,2021-12-15 13:33:05.459962
Person,1,0,2021-12-15 13:33:05.984135
Person,0,1,2021-12-15 13:33:06.256318
Person,1,0,2021-12-15 13:33:07.035747
Person,0,1,2021-12-15 13:33:07.295114
Person,1,0,2021-12-15 13:33:09.697003
Person,0,1,2021-12-15 13:33:09.959593
Person,1,0,2021-12-15 13:33:10.756352
Person,0,1,2021-12-15 13:33:11.019386
Person,1,0,2021-12-15 13:33:11.549113
Person,0,1,2021-12-15 13:33:11.809240
Person,1,0,2021-12-15 13:33:12.331181
Person,0,1,2021-12-15 13:33:13.660126
Person,1,0,2021-12-15 13:33:14.445979
Person,0,1,2021-12-15 13:33:14.711366
Person,1,0,2021-12-15 13:33:14.980860
Person,0,1,2021-12-15 13:33:15.244525
Person,1,0,2021-12-15 13:33:16.545786
Person,0,1,2021-12-15 13:33:17.589909
Person,1,0,2021-12-15 13:33:17.850352
Person,0,1,2021-12-15 13:33:18.111000
Person,1,0,2021-12-15 13:33:18.633037
Person,0,1,2021-12-15 13:33:19.682701
Person,0,1,2021-12-15 13:33:20.724120
Person,1,0,2021-12-15 13:33:22.282358
Person,0,1,2021-12-15 13:33:22.550366
Person,1,0,2021-12-15 13:33:22.819354
Person,0,1,2021-12-15 13:33:23.090987
Person,1,0,2021-12-15 13:33:23.351631
Person,0,1,2021-12-15 13:33:23.875225
Person,1,0,2021-12-15 13:33:24.133405
Person,0,1,2021-12-15 13:33:26.484428
Person,1,0,2021-12-15 13:33:26.747144
Person,0,1,2021-12-15 13:33:27.008502
Person,0,1,2021-12-15 13:33:33.564870
Person,0,1,2021-12-15 13:33:34.606472
Person,2,0,2021-12-15 13:33:35.387218
Person,0,1,2021-12-15 13:33:39.307568
Person,1,0,2021-12-15 13:33:39.830121
Person,0,1,2021-12-15 13:33:50.560673
Person,1,0,2021-12-15 13:33:50.832017
Person,0,1,2021-12-15 13:33:58.164590
Person,0,1,2021-12-15 13:33:59.218427
Person,1,0,2021-12-15 13:33:59.476763
Person,0,1,2021-12-15 13:34:03.397190
Person,1,0,2021-12-15 13:34:03.917557
Person,0,1,2021-12-15 13:34:05.499062
Person,1,0,2021-12-15 13:34:05.765857
Person,0,1,2021-12-15 13:34:06.546516
Person,1,0,2021-12-15 13:34:06.804732
Person,0,1,2021-12-15 13:34:08.366068
Person,1,0,2021-12-15 13:34:08.626538
Person,0,1,2021-12-15 13:34:12.293984
Person,1,0,2021-12-15 13:34:18.304319
Person,0,2,2021-12-15 13:34:30.603427
Person,1,0,2021-12-15 13:34:30.861524
Person,0,1,2021-12-15 13:34:31.385934
Person,1,0,2021-12-15 13:34:31.647597
Person,0,1,2021-12-15 13:34:33.482666
Person,1,0,2021-12-15 13:34:39.289042
Person,0,1,2021-12-15 13:34:40.337388
Person,0,1,2021-12-15 13:34:43.487353
Person,1,0,2021-12-15 13:34:43.749439
Person,0,1,2021-12-15 13:34:44.274787
Person,2,0,2021-12-15 13:34:44.537652
Person,0,1,2021-12-15 13:34:45.321405
Person,0,1,2021-12-15 13:34:46.642100
Person,0,1,2021-12-15 13:34:48.794825
Person,1,0,2021-12-15 13:34:49.316594
Person,1,0,2021-12-15 13:34:50.377744
Person,1,0,2021-12-15 13:34:54.906205
